bug,failingTests
Chart-6,"org.jfree.chart.util.junit.ShapeListTests::testSerialization, org.jfree.chart.util.junit.ShapeListTests::testEquals"
Chart-10,org.jfree.chart.imagemap.junit.StandardToolTipTagFragmentGeneratorTests::testGenerateURLFragment
Chart-9,org.jfree.data.time.junit.TimeSeriesTests::testBug1864222
Chart-8,org.jfree.data.time.junit.WeekTests::testConstructor
Chart-7,org.jfree.data.time.junit.TimePeriodValuesTests::testGetMaxMiddleIndex
Chart-5,org.jfree.data.xy.junit.XYSeriesTests::testBug1955483
Chart-3,org.jfree.data.time.junit.TimeSeriesTests::testCreateCopy3
Chart-4,"org.jfree.chart.axis.junit.LogAxisTests::testXYAutoRange1, org.jfree.chart.axis.junit.LogAxisTests::testXYAutoRange2, org.jfree.chart.axis.junit.NumberAxisTests::testXYAutoRange1, org.jfree.chart.axis.junit.NumberAxisTests::testXYAutoRange2, org.jfree.chart.axis.junit.ValueAxisTests::testAxisMargins, org.jfree.chart.junit.JFreeChartTests::testSerialization4, org.jfree.chart.junit.ScatterPlotTests::testDrawWithNullInfo, org.jfree.chart.junit.ScatterPlotTests::testSetSeriesToolTipGenerator, org.jfree.chart.junit.ScatterPlotTests::testReplaceDataset, org.jfree.chart.junit.TimeSeriesChartTests::testDrawWithNullInfo, org.jfree.chart.junit.TimeSeriesChartTests::testSetSeriesToolTipGenerator, org.jfree.chart.junit.TimeSeriesChartTests::testReplaceDataset, org.jfree.chart.junit.XYAreaChartTests::testDrawWithNullInfo, org.jfree.chart.junit.XYAreaChartTests::testSetSeriesToolTipGenerator, org.jfree.chart.junit.XYAreaChartTests::testReplaceDataset, org.jfree.chart.junit.XYStepAreaChartTests::testDrawWithNullInfo, org.jfree.chart.junit.XYStepAreaChartTests::testSetSeriesToolTipGenerator, org.jfree.chart.junit.XYStepAreaChartTests::testReplaceDataset, org.jfree.chart.junit.XYStepChartTests::testDrawWithNullInfo, org.jfree.chart.junit.XYStepChartTests::testSetSeriesToolTipGenerator, org.jfree.chart.junit.XYStepChartTests::testReplaceDataset, org.jfree.chart.plot.junit.XYPlotTests::testDrawRangeGridlines"
Chart-2,"org.jfree.data.general.junit.DatasetUtilitiesTests::testBug2849731_2, org.jfree.data.general.junit.DatasetUtilitiesTests::testBug2849731_3"
Chart-1,org.jfree.chart.renderer.category.junit.AbstractCategoryItemRendererTests::test2947660
Chart-12,org.jfree.chart.plot.junit.MultiplePiePlotTests::testConstructor
Chart-11,org.jfree.chart.util.junit.ShapeUtilitiesTests::testEqualGeneralPaths
Chart-13,org.jfree.chart.block.junit.BorderArrangementTests::testSizingWithWidthConstraint
Chart-18,"org.jfree.data.category.junit.DefaultCategoryDatasetTests::testBug1835955, org.jfree.data.junit.DefaultKeyedValues2DTests::testRemoveColumnByKey, org.jfree.data.junit.DefaultKeyedValuesTests::testRemoveValue, org.jfree.data.junit.DefaultKeyedValuesTests::testGetIndex2"
